TempOut,OutHum,DewPt.,WSpeed,WRun,WHSpeed,WChill,HeatIx,ThwIx,ThswI,Bar,Rain,HiSlE,Rad.,uvIndex,uDose,hiUV,hetD-D,colD-D,inTemp,inHum,inDew,iHeat,ET,WSamp,iRecept,WDir_deg,HWDir_deg,Date_num,prediccion
4.929166666666666,18.0,-18.58125,15.979166666666666,383.75,74.0,-2.9,10.3,1.0958333333333334,-0.8916666666666666,704.18125,0.0,38.23,248.14583333333331,6.4,0.2860416666666667,6.4,13.401,0.0,12.458333333333334,11.0,-17.695833333333333,22.8,5.76,33257,99.99375,202.5,157.5,1670112000.0,True
4.929166666666666,18.0,-18.58125,15.979166666666666,383.75,74.0,-2.9,10.3,1.0958333333333334,-0.8916666666666666,704.18125,0.0,38.23,248.14583333333331,6.4,0.2860416666666667,6.4,13.401,0.0,12.458333333333334,11.0,-17.695833333333333,22.8,5.76,33257,99.99375,202.5,157.5,1670112000.0,True
4.929166666666666,18.0,-18.58125,15.979166666666666,383.75,74.0,-2.9,10.3,1.0958333333333334,-0.8916666666666666,704.18125,0.0,38.23,248.14583333333331,6.4,0.2860416666666667,6.4,13.401,0.0,12.458333333333334,11.0,-17.695833333333333,22.8,5.76,33257,99.99375,202.5,157.5,1670112000.0,True
4.929166666666666,18.0,-18.58125,15.979166666666666,383.75,74.0,-2.9,10.3,1.0958333333333334,-0.8916666666666666,704.18125,0.0,38.23,248.14583333333331,6.4,0.2860416666666667,6.4,13.401,0.0,12.458333333333334,11.0,-17.695833333333333,22.8,5.76,33257,99.99375,202.5,157.5,1670112000.0,True
4.929166666666666,18.0,-18.58125,15.979166666666666,383.75,74.0,-2.9,10.3,1.0958333333333334,-0.8916666666666666,704.18125,0.0,38.23,248.14583333333331,6.4,0.2860416666666667,6.4,13.401,0.0,12.458333333333334,11.0,-17.695833333333333,22.8,5.76,33257,99.99375,202.5,157.5,1670112000.0,True
4.929166666666666,18.0,-18.58125,15.979166666666666,383.75,74.0,-2.9,10.3,1.0958333333333334,-0.8916666666666666,704.18125,0.0,38.23,248.14583333333331,6.4,0.2860416666666667,6.4,13.401,0.0,12.458333333333334,11.0,-17.695833333333333,22.8,5.76,33257,99.99375,202.5,157.5,1670112000.0,True
3.6604166666666655,21.5,-17.164583333333333,6.704166666666667,160.85,38.6,-5.9,10.6,1.5791666666666666,-0.2583333333333333,710.4979166666667,0.0,31.87,202.5,4.4,0.2020833333333333,4.4,14.665,0.0,15.76875,15.0,-11.28125,26.5,3.79,33298,99.99166666666667,225.0,225.0,1670198400.0,True
3.6604166666666655,21.5,-17.164583333333333,6.704166666666667,160.85,38.6,-5.9,10.6,1.5791666666666666,-0.2583333333333333,710.4979166666667,0.0,31.87,202.5,4.4,0.2020833333333333,4.4,14.665,0.0,15.76875,15.0,-11.28125,26.5,3.79,33298,99.99166666666667,225.0,225.0,1670198400.0,True
3.6604166666666655,21.5,-17.164583333333333,6.704166666666667,160.85,38.6,-5.9,10.6,1.5791666666666666,-0.2583333333333333,710.4979166666667,0.0,31.87,202.5,4.4,0.2020833333333333,4.4,14.665,0.0,15.76875,15.0,-11.28125,26.5,3.79,33298,99.99166666666667,225.0,225.0,1670198400.0,True
3.6604166666666655,21.5,-17.164583333333333,6.704166666666667,160.85,38.6,-5.9,10.6,1.5791666666666666,-0.2583333333333333,710.4979166666667,0.0,31.87,202.5,4.4,0.2020833333333333,4.4,14.665,0.0,15.76875,15.0,-11.28125,26.5,3.79,33298,99.99166666666667,225.0,225.0,1670198400.0,True
-2.23125,17.5,-23.92083333333333,2.4,57.86,24.1,-10.4,4.4,-3.420833333333333,-5.402083333333334,719.0916666666667,0.0,29.11,193.08333333333331,5.7,0.2593749999999999,5.7,20.569,0.0,17.900000000000002,12.0,-12.077083333333334,27.7,2.64,33461,99.95833333333331,67.5,0.0,1670284800.0,True
-2.23125,17.5,-23.92083333333333,2.4,57.86,24.1,-10.4,4.4,-3.420833333333333,-5.402083333333334,719.0916666666667,0.0,29.11,193.08333333333331,5.7,0.2593749999999999,5.7,20.569,0.0,17.900000000000002,12.0,-12.077083333333334,27.7,2.64,33461,99.95833333333331,67.5,0.0,1670284800.0,True
5.708333333333333,19.0,-15.991666666666667,17.264583333333334,414.4,70.8,-6.6,12.4,1.8020833333333333,0.0666666666666665,708.0500000000001,0.0,33.89,243.64583333333331,8.5,0.4089583333333333,8.7,12.631,0.0,14.279166666666669,12.0,-14.502083333333331,24.8,6.06,33504,100.0,315.0,337.5,1670457600.0,True
5.708333333333333,19.0,-15.991666666666667,17.264583333333334,414.4,70.8,-6.6,12.4,1.8020833333333333,0.0666666666666665,708.0500000000001,0.0,33.89,243.64583333333331,8.5,0.4089583333333333,8.7,12.631,0.0,14.279166666666669,12.0,-14.502083333333331,24.8,6.06,33504,100.0,315.0,337.5,1670457600.0,True
5.708333333333333,19.0,-15.991666666666667,17.264583333333334,414.4,70.8,-6.6,12.4,1.8020833333333333,0.0666666666666665,708.0500000000001,0.0,33.89,243.64583333333331,8.5,0.4089583333333333,8.7,12.631,0.0,14.279166666666669,12.0,-14.502083333333331,24.8,6.06,33504,100.0,315.0,337.5,1670457600.0,True
